Participant,Group,Condition,ReactionTime
Sub-090,2.0,happy_sad,0.9289575181901456
Sub-090,2.0,sad_happy,0.8519634374824818
Sub-090,2.0,sad_sad,0.7361710214920875
Sub-091,2.0,happy_happy,0.8047925666905941
Sub-091,2.0,happy_sad,0.8226699857207548
Sub-091,2.0,sad_happy,0.901315115374298
Sub-091,2.0,sad_sad,0.8349309428761315
Sub-092,1.0,happy_happy,0.6339870266461124
Sub-092,1.0,happy_sad,0.8177755538445826
Sub-092,1.0,sad_happy,0.5998095866447936
Sub-092,1.0,sad_sad,0.6060541933091979
Sub-093,2.0,happy_happy,0.7169584785920701
Sub-093,2.0,happy_sad,0.8518962199799717
Sub-093,2.0,sad_happy,0.5735811307094991
Sub-093,2.0,sad_sad,0.7855505732819438
Sub-094,1.0,happy_happy,0.6438569857938481
Sub-094,1.0,happy_sad,0.7956579334102571
Sub-094,1.0,sad_happy,0.5656592332758009
Sub-094,1.0,sad_sad,0.6149844533453385
Sub-095,1.0,happy_happy,0.5219695533470561
Sub-095,1.0,happy_sad,0.6499234466968725
Sub-095,1.0,sad_happy,0.5326303922965263
Sub-095,1.0,sad_sad,0.5438148799973229
Sub-096,2.0,happy_happy,0.4835063533391804
Sub-096,2.0,happy_sad,0.6742406533410151
Sub-096,2.0,sad_happy,0.5462005533122768
Sub-096,2.0,sad_sad,0.5493791733092318
Sub-097,1.0,happy_happy,0.415830850135535
Sub-097,1.0,happy_sad,0.9645546001071732
Sub-097,1.0,sad_happy,0.7540029501542449
Sub-097,1.0,sad_sad,0.533024685789964
Sub-098,1.0,happy_happy,0.6423185933332812
Sub-098,1.0,happy_sad,0.7833575666700199
Sub-098,1.0,sad_happy,0.5679284666669749
Sub-098,1.0,sad_sad,0.6982466333344443
Sub-099,1.0,happy_happy,0.6385890666783477
Sub-099,1.0,happy_sad,0.8125834142805876
Sub-099,1.0,sad_happy,0.5892558733272987
Sub-099,1.0,sad_sad,0.8546242400072515
Sub-100,1.0,happy_happy,0.8382790933332823
Sub-100,1.0,happy_sad,0.8848977363636963
Sub-100,1.0,sad_happy,0.7768368200001229
Sub-100,1.0,sad_sad,0.8307686466664259
Sub-101,2.0,happy_happy,0.4029392933395381
Sub-101,2.0,happy_sad,0.5241000428629506
Sub-101,2.0,sad_happy,0.4608379666615898
Sub-101,2.0,sad_sad,0.50705178664842
Sub-102,1.0,happy_happy,0.8181581400334835
Sub-102,1.0,happy_sad,0.7396443999605253
Sub-102,1.0,sad_happy,0.7569547250168398
Sub-102,1.0,sad_sad,0.5988043998368084
Sub-103,2.0,happy_happy,0.9795995857192404
Sub-103,2.0,happy_sad,0.9909083363652992
Sub-103,2.0,sad_happy,1.0434055750083644
Sub-103,2.0,sad_sad,0.8656388500031815
Sub-104,1.0,happy_sad,0.9482952000107616
Sub-104,1.0,sad_sad,0.4769873500335961
Sub-105,2.0,happy_happy,0.5110217133071273
Sub-105,2.0,happy_sad,0.6375539733252178
Sub-105,2.0,sad_happy,0.5725432666794708
Sub-105,2.0,sad_sad,0.4468503800220788
Sub-106,1.0,happy_happy,0.7429315071203746
Sub-106,1.0,happy_sad,0.8211035091027786
Sub-106,1.0,sad_happy,0.7268593400173509
Sub-106,1.0,sad_sad,0.7358963933230067
Sub-107,1.0,sad_happy,0.6495949000430604
Sub-107,1.0,sad_sad,0.5903528000150496
Sub-108,1.0,happy_happy,0.6951734533378233
Sub-108,1.0,happy_sad,0.9440191538395504
Sub-108,1.0,sad_happy,0.6769419000151434
Sub-108,1.0,sad_sad,0.8048981142928824
Sub-109,1.0,happy_happy,0.6995729856924819
Sub-109,1.0,happy_sad,0.7022864691769848
Sub-109,1.0,sad_happy,0.7034003133730342
Sub-109,1.0,sad_sad,0.8359577857357051
Sub-110,1.0,happy_happy,0.4188501733332183
Sub-110,1.0,happy_sad,0.4784441666664255
Sub-110,1.0,sad_happy,0.4561224230771516
Sub-110,1.0,sad_sad,0.40479614000008346
Sub-111,1.0,happy_happy,0.5563759200042113
